,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Color
947,10/7/20,2020,10,7,Wednesday,40,2020-40,1272.6,1295.35,1266.06,1278.68,241700,1278.68,0.017725121,1244.8814289999998,1241.7288,Green
948,10/8/20,2020,10,8,Thursday,40,2020-40,1287.92,1288.0,1260.0,1281.75,241500,1281.75,0.002400871,1249.615,1244.3024,Green
949,10/9/20,2020,10,9,Friday,40,2020-40,1287.48,1292.0,1276.9,1281.99,243800,1281.99,0.000187236,1255.0057140000001,1246.9742,Green
950,10/12/20,2020,10,12,Monday,41,2020-41,1291.19,1292.12,1275.48,1278.93,204800,1278.93,-0.002386865,1258.173571,1249.4496,Green
951,10/13/20,2020,10,13,Tuesday,41,2020-41,1282.29,1330.0,1272.07,1325.22,400400,1325.22,0.036194252,1263.661429,1253.0198,Green
952,10/14/20,2020,10,14,Wednesday,41,2020-41,1330.17,1341.99,1314.8,1321.37,284600,1321.37,-0.00290516,1270.239286,1256.1558,Green
953,10/15/20,2020,10,15,Thursday,41,2020-41,1306.15,1344.9,1305.0,1343.25,261800,1343.25,0.016558576000000002,1277.2928570000001,1259.616,Green
954,10/16/20,2020,10,16,Friday,41,2020-41,1348.88,1356.75,1335.53,1339.68,297500,1339.68,-0.002657693,1282.745,1262.6736,Green
955,10/19/20,2020,10,19,Monday,42,2020-42,1345.0,1357.3,1328.0,1335.59,320200,1335.59,-0.0030530329999999997,1288.029286,1265.7730000000001,Red
956,10/20/20,2020,10,20,Tuesday,42,2020-42,1345.0,1364.36,1337.93,1348.47,330600,1348.47,0.009643681999999999,1295.512143,1269.5224,Red
957,10/21/20,2020,10,21,Wednesday,42,2020-42,1344.08,1366.66,1338.0,1366.66,792300,1366.66,0.013489408999999999,1304.700714,1273.9124,Red
958,10/22/20,2020,10,22,Thursday,42,2020-42,1292.21,1313.98,1253.89,1300.29,1296500,1300.29,-0.048563647,1307.95,1276.6998,Red
959,10/23/20,2020,10,23,Friday,42,2020-42,1299.86,1348.5,1296.0,1339.08,762700,1339.08,0.029831742,1314.097857,1279.5828,Red
960,10/26/20,2020,10,26,Monday,43,2020-43,1323.13,1326.34,1285.0,1311.98,544100,1311.98,-0.020237758,1318.067143,1282.0918,Red
961,10/27/20,2020,10,27,Tuesday,43,2020-43,1310.73,1314.14,1296.44,1310.15,298100,1310.15,-0.001394805,1320.315,1283.9704,Red
962,10/28/20,2020,10,28,Wednesday,43,2020-43,1292.05,1295.66,1251.15,1253.54,479400,1253.54,-0.043208780999999995,1318.3,1284.3026,Red
963,10/29/20,2020,10,29,Thursday,43,2020-43,1253.02,1264.39,1239.07,1242.8,284300,1242.8,-0.008567728,1315.500714,1284.7712,Red
964,10/30/20,2020,10,30,Friday,43,2020-43,1237.7,1245.17,1191.31,1201.48,491300,1201.48,-0.033247558999999996,1309.968571,1284.003,Red
965,11/2/20,2020,11,2,Monday,44,2020-44,1210.0,1210.0,1172.29,1188.54,368700,1188.54,-0.010770001999999999,1300.2057140000002,1282.7089999999998,Green
966,11/3/20,2020,11,3,Tuesday,44,2020-44,1198.42,1216.64,1188.24,1209.55,322300,1209.55,0.017677158000000002,1292.218571,1282.065,Green
967,11/4/20,2020,11,4,Wednesday,44,2020-44,1238.0,1299.0,1234.9,1277.37,561400,1277.37,0.056070392999999996,1287.512857,1282.2194,Green
968,11/5/20,2020,11,5,Thursday,44,2020-44,1309.72,1312.36,1283.85,1310.32,298900,1310.32,0.02579515,1285.415714,1282.8802,Green
